state,total_availablity,unskilled_wage_expenditure,material_expenditure,admin_expenditure,other_expenditure,total_actual_exp,year,cum_expenditure_year,cum_expenditure_state
IN-RJ,83017893000.0,55258581999.99999,24679309000.0,1101083000.0,974000.0,81039948000.0,2022,826213719000.0,346626710000.0
IN-SK,809527000.0,594829000.0,225966000.0,72378000.0,1000.0,893174000.0,2022,826213719000.0,4052304000.0
IN-TN,76657278000.0,61189906000.00001,25878523000.0,3136328000.0,0.0,90204757000.0,2022,826213719000.0,326341617000.0
IN-TG,30715742000.0,18099270000.0,8802341000.0,1888786000.0,0.0,28790396999.999996,2022,826213719000.0,137918599000.0
IN-TR,9646874000.0,6097639000.0,2391611000.0,444907000.0,8000.0,8934165000.0,2022,826213719000.0,38988720000.0
IN-UP,98176192000.0,59448671000.0,33080901000.0,3264558000.0,53000.0,95794183000.0,2022,826213719000.0,372631540000.0
IN-UT,7776892999.999999,3638779000.0,3384986000.0,356152000.0,2000.0,7379919000.0,2022,826213719000.0,27761164000.0
IN-WB,1326558000.0,8423403000.0,10000.0,1531360000.0,447000.0,9955220000.0,2022,826213719000.0,296171209000.0
IN-AN,55964000.0,23383000.0,4070000.0000000005,0.0,0.0,27452999.999999996,2022,826213719000.0,202216000.0
IN-DN,8093000.000000001,0.0,0.0,0.0,0.0,0.0,2022,826213719000.0,0.0
IN-LD,3015000.0,722000.0,33000.0,36000.0,0.0,791000.0,2022,826213719000.0,2891000.0
IN-PY,221442000.0,170705000.0,11867000.0,0.0,0.0,182572000.0,2022,826213719000.0,753896000.0
